Accel Pedal;Coolant Temp;Engine Lambda;Engine Speed;Man Air Press;Mass Air Flow OBD;Rel Thrott Pos OBD;Spark Advance;Fuel Inj Amt
0;96;0.9;612.1;23.7;1.97;1.6;5;8.057
0;96;0.9;610;23.7;1.97;1.6;5;8.057
0;96;0.9;607.8;23.6;1.97;1.6;5;8.057
0;96;0.9;605.6;23.6;1.97;1.6;5;8.057
0;96;0.9;603.4;23.6;1.97;1.6;5;8.057
0;96;0.9;601.2;23.5;1.97;1.6;5;8.057
0;96;0.9;599;23.5;1.97;1.6;5;8.057
0;96;0.9;596.8;23.4;1.97;1.6;5;8.057
0;96;0.9;594.6;23.4;1.97;1.6;5;8.057
0;96;0.9;592.5;23.3;1.97;1.6;5;8.057
0;96;0.9;590.3;23.3;1.97;1.6;5;8.057
0;96;0.9;588.1;23.2;1.97;1.6;5;8.057
0;96;0.9;585.9;23.2;1.97;1.6;5;8.057
0;96;0.9;583.7;23.1;1.97;1.6;5;8.057
0;96;0.9;581.5;23.1;1.97;1.6;5;8.057
0;96;0.9;579.3;23;1.97;1.6;5;8.057
0;96;0.9;577.2;23;1.97;1.6;5;8.057
0;96;0.9;575;22.9;1.97;1.6;5;8.057
0;96;0.9;572.8;22.9;1.97;1.6;5;8.057
0;96;0.9;570.6;22.9;1.97;1.6;5;8.057
0;96;0.9;568.4;22.8;1.97;1.6;5;8.057
0;96;0.9;566.2;22.8;1.97;1.6;5;8.057
0;96;0.9;564;22.7;1.97;1.6;5;8.057
0;96;0.9;561.8;22.7;1.97;1.6;5;8.057
0;96;0.9;559.7;22.6;1.97;1.6;5;8.057
0;96;0.9;557.8;22.6;1.97;1.6;5;8.057
0;96;0.9;556.8;22.5;1.97;1.6;5;8.057
0;96;0.9;555.8;22.4;1.965;1.6;5.1;8.047
0;96;0.9;554.2;22.4;1.923;1.6;6;7.962
0;96;0.9;552.7;22.4;1.882;1.6;7;7.877
0;96;0.9;553.7;22.4;1.88;1.6;7;7.874
0;96;0.9;554.8;22.3;1.88;1.6;7;7.874
0;96;0.9;554;22.4;1.88;1.6;7;7.874
0;96;0.9;552.6;22.5;1.88;1.6;7;7.874
0;96;0.9;551.7;22.5;1.793;1.6;6.9;7.857
0;96;0.9;551.1;22.5;1.651;1.6;6.6;7.829
0;96;0.9;550.1;22.5;1.57;1.6;6.5;7.813
0;96;0.9;548.8;22.5;1.57;1.6;6.5;7.813
0;96;0.9;547.8;22.5;1.57;1.6;6.5;7.813
0;96;0.9;547.7;22.5;1.57;1.6;6.5;7.813
0;96;0.9;547.6;22.5;1.571;1.6;6.5;7.812
0;96;0.9;548.7;22.5;1.58;1.6;6.7;7.798
0;96;0.9;549.7;22.4;1.589;1.6;7;7.784
0;96;0.9;549.6;22.5;1.59;1.6;7;7.782
0;96;0.9;549.4;22.5;1.59;1.6;7;7.782
0;96;0.9;548.9;22.5;1.59;1.6;7;7.782
0;96;0.9;548.3;22.6;1.59;1.6;7;7.782
0;96;0.9;548.6;22.7;1.595;1.6;6.8;7.782
0;96;0.9;549.7;22.6;1.604;1.6;6.3;7.782
0;96;0.9;550.6;22.6;1.61;1.6;6;7.782
0;96;0.9;551.2;22.6;1.61;1.6;6;7.782
0;96;0.9;551.8;22.6;1.61;1.6;6;7.782
0;96;0.9;552.4;22.5;1.61;1.6;6;7.782
0;96;0.9;553;22.5;1.61;1.6;6;7.782
0;96;0.9;552.7;22.4;1.704;1.6;6.2;7.769
0;96;0.9;552.4;22.4;1.801;1.6;6.5;7.755
0;96;0.9;550.7;22.5;1.82;1.6;6.5;7.752
0;96;0.9;548.7;22.6;1.82;1.6;6.5;7.752
0;96;0.9;548.4;22.6;1.82;1.6;6.5;7.752
0;96;0.9;549.2;22.6;1.82;1.6;6.5;7.752
0;96;0.9;550.3;22.5;1.766;1.6;6.5;7.752
0;96;0.9;551.7;22.5;1.642;1.6;6.5;7.752
0;96;0.9;552.5;22.5;1.55;1.6;6.5;7.752
0;96;0.9;551.9;22.4;1.55;1.6;6.5;7.752
0;96;0.9;551.3;22.4;1.55;1.6;6.5;7.752
0;96;0.9;550.8;22.4;1.55;1.6;6.5;7.752
0;96;0.9;550.4;22.4;1.55;1.6;6.5;7.752
0;96;0.9;550;22.4;1.636;1.6;6.7;7.752
0;96;0.9;549.6;22.4;1.732;1.6;6.9;7.752
0;96;0.9;550.6;25;1.76;1.6;7;7.752
0;96;0.9;552.1;28.6;1.76;1.6;7;7.752
0;96;0.9;563.6;31;1.76;1.6;7;7.752
0;96;0.9;582.8;32.5;1.76;1.6;7;7.752
0;96;0.9;603.6;33.6;2.46;1.6;8.8;9.238
0;96;0.9;625.7;34.5;3.706;1.6;12;11.881
0;96;0.9;648.5;35.1;4.09;2.3;13;12.695
0;96;0.9;671.7;35.7;4.09;3.4;13;12.695
0;96;0.9;683.9;35.7;4.09;3.5;13;12.695
0.1;96;0.9;696.4;35.9;4.09;3.5;13;12.695
0.7;96;0.9;713;37.2;4.09;3.5;13;12.695
1;96;0.9;742.6;37.4;4.331;3.5;13.6;12.649
1;96;0.9;781.6;37;4.73;3.5;14.5;12.573
1;96;0.9;815.4;37.9;4.73;3.8;14.5;12.573
1;96;0.9;839.3;39.9;4.73;3.9;14.5;12.573
1.9;95.8;0.9;858;42.1;4.73;3.9;14.5;12.573
6;95.1;0.9;879.1;42.7;4.73;3.9;14.5;12.573
6.5;95;1;901.8;44.5;4.73;3.9;14.5;12.491
6.5;95;1;917.5;46.2;5.958;4.1;13.8;12.451
6.5;95;1;930.5;47.9;7.5;4.3;13;12.451
6.5;95;1;950.9;50.1;7.5;4.3;13;12.451
6.5;95;1;973.1;52.3;7.5;4.3;13;12.451
9.6;95;1;998.6;59.7;7.5;4.3;13;12.451
